Gene,GSM158635,GSM158636,GSM158637,GSM158638,GSM158639,GSM158640,GSM158641,GSM158642,GSM158643
NDUFB6,2771.0,3640.0,1642.0,3033.0,2044.666667,2010.333333,2266.333333,2379.0,2796.333333
NDUFB7,1103.0,1022.0,728.0,532.0,737.6666667000002,751.0,584.3333332999998,201.0,282.0
NDUFB8,14025.0,16064.0,15192.0,16150.0,7298.333333,6687.333333,9986.333333,5199.666667,9111.666667
NDUFC1,12314.0,11957.0,5509.0,9254.0,9640.666667,14701.0,7285.333333,3458.666667,9632.666667
NDUFC2,7645.0,7489.0,6588.0,10264.0,12560.33333,38303.0,7538.0,8913.666667,8459.0
NDUFS1,368.0,322.0,420.0,584.0,1094.333333,892.6666667000003,801.0,1700.0,1237.666667
NDUFS2,6704.0,7840.0,9937.0,10115.0,6906.333333,5490.0,4325.666667,4215.0,14530.33333
NDUFS3,1754.0,1537.0,2882.0,2884.0,3276.333333,1846.666667,4358.333333,3970.0,3980.666667
NDUFS4,1410.0,1558.0,1131.0,1313.0,1389.333333,2664.333333,1427.666667,2503.333333,4107.666667
NDUFS5,22382.0,23979.0,11665.0,13410.0,12159.33333,15985.33333,18972.66667,17921.66667,18894.66667
NDUFS6,15771.0,15979.0,13176.0,14713.0,9961.333333,11598.33333,14780.0,18362.0,31047.66667
NDUFS7,2541.0,3524.0,2945.0,1544.0,1236.0,738.3333332999998,1511.0,678.0,1286.666667
NDUFV1,1654.0,1625.0,1110.0,1138.0,2757.333333,1786.0,751.6666667000002,1870.333333,1729.6666670000004
NDUFV2,2672.0,2592.0,3436.0,3151.0,4643.0,4819.666667,2177.333333,3279.0,3481.0
NEB,109.0,185.0,311.0,58.0,171.33333330000005,148.66666669999995,147.66666669999995,161.66666669999995,147.33333330000005
NEBL,3269.0,4001.0,11658.0,4933.0,1263.0,4434.666667,1609.666667,1498.666667,2856.666667
NECAB2,231.0,392.0,132.0,223.0,52.3333333,153.33333330000005,422.0,306.6666667,218.6666667
NECAB3,773.0,1661.0,1175.0,1285.0,560.3333332999998,718.0,831.6666667000002,274.3333333,747.0
NECAP1,902.0,955.0,708.0,726.0,1547.666667,3317.666667,1024.0,1140.0,1375.333333
NECAP2,2572.0,1904.0,1258.0,799.0,4632.666667,2829.0,1945.0,1764.6666670000004,868.0
NEDD4,389.0,458.0,409.0,337.0,453.33333330000005,298.6666667,172.0,239.0,814.3333332999998
NEDD4L,765.0,541.0,1222.0,1099.0,689.3333332999998,1234.0,601.3333332999998,1150.666667,861.3333332999997
NEDD8,2408.0,2079.0,2584.0,1946.0,1931.0,2159.666667,2178.0,2097.666667,2077.666667
NEDD9,3217.0,3050.0,3856.0,1435.0,1067.333333,668.0,1388.333333,3731.666667,1116.333333
NEFH,38.0,25.0,-8.0,-8.0,90.0,36.3333333,41.0,8.0,11.0
NEFL,283.0,309.0,323.0,394.0,160.0,106.6666667,265.6666667,218.6666667,124.6666667
NEFM,180.0,457.0,245.0,194.0,37.6666667,49.0,159.66666669999995,142.0,158.33333330000005
NEIL3,130.0,209.0,98.0,515.0,35.3333333,264.6666667,325.6666667,398.0,426.0
NEK1,1683.0,2258.0,1164.0,1579.0,1255.0,948.6666667000003,611.0,484.0,1302.333333
NEK11,1820.0,1861.0,2577.0,1563.0,976.0,845.3333332999997,1570.333333,949.0,789.0
